name,x,y,z,vx,vy,vz,inclination,eccentricity,RAAN,argument_of_perigee,mean_anomaly,mean_motion,collision_label
SAT-23893,-4843.94957842179,-41.19173876290399,4817.24452403774,4.359969726943548,-4.987864619402454,4.403621393781103,63.321000000000005,0.0845053,152.7629,47.2686,319.6388,13.45826791,0
SAT-24278,94.05644244328332,7412.587305368477,-1859.4223506738554,1.0517052366776554,-1.5655160893867968,-6.869948820464165,98.5414,0.0350695,271.1218,54.6524,308.6867,13.53267047,0
SAT-24307,-39227.08881814659,14155.59526051473,6899.429587036534,-1.0609581276271267,-2.877927446527823,-0.1296644256550819,9.5793,0.0006008,55.1704,273.331,278.5696,0.9998039699999999,0
SAT-24674,24160.170336946172,34655.639056254775,528.5647950189152,-2.482718290014901,1.725138176279187,0.5410495478544112,10.053,0.0007468,50.8186,257.0281,109.8372,1.00002354,0
SAT-24876,3720.1296393473153,-26188.590090554884,3374.8938342255665,2.2106186990322305,-0.1291412719977297,-3.1600455948569457,55.9254,0.0097511,103.37040000000002,56.4429,304.5578,2.0056403,0
SAT-24920,3267.9250063343584,-4982.336135789525,3979.268820263594,0.5120594446153004,4.8661948387483625,5.637845065575251,69.953,0.0019045,291.9028,86.0217,274.3082,14.27885602,0
SAT-24936,-41671.64476725428,3419.0189897153787,5529.279396702845,-0.2693868548542496,-3.0587789169808417,-0.14194324078976003,7.8433,0.0003136,65.4855,263.6712,267.6127,1.00270246,0
SAT-25019,-29521.493885321383,28893.848994294804,8583.383115668894,-2.17956944277266,-2.150953755285181,-0.2545573276491587,12.6374,0.000671,22.6276,297.953,248.87880000000004,1.00273375,0
SAT-25118,-4965.139767433823,2397.6367718793354,-4500.6116797958675,-1.258376789497721,-6.993637171594401,-2.3378044301467398,45.0136,0.0001761,285.1304,9.8148,144.368,14.47174223,0
SAT-25153,-40757.48189634641,-9809.904446483206,4645.560104759742,0.6735796952198653,-2.974657539757221,-0.3810271391800422,9.4177,0.0005043,54.4646,275.5558,281.7061,1.00275257,0
SAT-25159,-152.24368859840482,6669.227185488566,-2514.5357339155958,2.5048873094723105,-2.4270073895652033,-6.629671080940665,107.9646,0.0040096,277.2425,184.3447,175.735,14.354792699999999,0
SAT-25160,-1837.6963581329533,3009.201746421619,-6243.816555954823,1.428216323447214,6.741749330893845,2.868225533765946,108.0128,0.0062376,84.8707,340.8567,134.6858,14.22446486,0
SAT-25397,-1657.7289495181426,-2475.9582985244924,6534.307734706329,-5.844076900842276,-3.6318554736777062,-2.8537006171408716,98.9997,0.0001161,35.2708,157.8032,202.3197,14.24399402,0
SAT-25398,5704.522609925535,2527.9131871395175,3577.0073380287927,-2.789241298855542,-2.71583837359818,6.347145570419406,99.0028,0.0001341,28.642600000000005,155.6071,204.517,14.23045089,0
SAT-25415,-2910.6033653357367,-5158.858737875075,3976.2210058969927,4.451461698291324,-5.040319885987361,-3.270440144346366,44.9934,0.0001191,106.1634,36.6049,115.59700000000001,14.392007,0
SAT-25416,1570.4039639153784,6043.177598655517,-3476.4863955393325,-5.297267741526653,3.5896719797717656,3.849930271948157,44.9934,0.0001367,112.7507,234.9235,125.1485,14.378419490000002,0
SAT-25481,-5337.199770396721,-3972.1805592028845,2584.533745586133,4.806626612319906,-3.495106360091535,4.536378647769748,45.0041,5.09e-05,198.2214,150.7786,209.3091,14.388660560000002,0
SAT-25504,5608.789120979656,3251.460648375154,-2913.430129549107,-3.4077252711490433,6.625012316204819,0.8294589427548854,24.9948,0.0016457,108.7717,266.6594,222.8507,14.45468865,0
SAT-25544,5975.2362495360985,2188.2260499659396,-2408.676965749228,-3.6390405295082675,4.0760014683991,-5.3590499521297605,51.6315,0.0011057,186.8042,98.0666,262.1577,15.485975150000002,1
SAT-25560,5136.840776101735,-1490.5790276161722,4381.227493499987,5.088558430603008,2.0370809052748307,-5.256757754467057,69.8957,0.0002437,183.6097,77.7682,282.3754,15.086332410000002,0
SAT-25639,8835.198329635969,-40620.69266016619,-8839.757676166166,2.9940994122471505,0.6463165215637529,0.02295516617998286,11.9924,0.0004324,9.7568,275.6151,95.4102,0.99027038,0
SAT-25757,5182.0477122394595,4373.65128213921,-2075.2141384117976,2.4186005529623165,0.4802120997945508,7.0852542768432984,98.6635,0.0014356,37.0368,8.0603,352.0819,14.52388103,0
SAT-25867,-13366.627504239385,-109942.41347669094,92958.97281034422,0.5087097302694064,-0.5005724275267072,-0.2666230874884281,54.1474,0.8029285,120.38549999999998,310.6948,0.6338,0.37796722,0
SAT-25924,29183.058200039428,30435.416307787375,-83.39135814223857,-2.218547376273606,2.1286891146698497,0.004189831986781552,0.0545,0.0003321,262.1069,50.7918,299.6914,1.00268587,0
SAT-25933,12066.819835111752,11649.940223281983,20474.503277602787,-2.2791714855220064,3.1125159912997065,-0.47868358375717796,51.573600000000006,0.0106596,300.8621,171.3212,12.0238,2.00568798,0
SAT-25967,-30342.53235355692,-29211.271018583087,-1967.5515365639483,2.121351793254677,-2.1667102075604907,-0.5091145193997291,9.8396,0.0005903,27.8886,284.2863,254.6864,1.00269178,0
SAT-25982,5700.414414584455,4235.560203795707,825.5957212941229,-3.6569052131281476,3.8941117409093717,5.219147581051583,45.0164,0.0005105,36.0931,182.2443,177.8383,14.36914426,0
SAT-25989,-38047.963048840356,63791.50428955505,-45018.37234456513,-0.6229993596742281,-0.5552130090787954,-1.5897554007656003,65.1046,0.4720188,284.5963,67.0325,0.012600000000000002,0.50131102,0
SAT-25994,3.547534526736053,-4438.455402094771,-5508.681780509454,-1.6909980340772224,5.688442062559118,-4.586645542862678,97.9644,0.0001091,99.96140000000001,229.9074,282.3729,14.60989209,0
